"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"FBgn0000008",562.467061386685,-0.0565692220633525,0.054734534636308,0.300537878395823,0.349974338113464
"FBgn0000014",894.89103805977,-0.795841592949668,0.045353554488027,3.66458307458721e-69,2.56860547891802e-68
"FBgn0000015",323.316300104045,-0.841221115607305,0.0737713201679773,2.1773574227418e-30,8.69792551296752e-30
"FBgn0000017",862.121739329347,-0.253062140395615,0.0478124078986723,1.0988522483466e-07,2.25926094062705e-07
"FBgn0000018",111.781122642075,0.376053334718382,0.111574529168683,0.000671863591119556,0.00108510466916646
"FBgn0000024",789.77661599339,-0.91597717983627,0.0484423383813891,5.86202753372594e-80,4.62639208489811e-79
"FBgn0000028",38.6778561285419,-1.41203346782019,0.214961920187606,1.14691454469119e-11,2.79183469657496e-11
"FBgn0000032",313.356786969687,0.621337033341297,0.0705336460015389,9.79245002190842e-19,3.00070726015843e-18
"FBgn0000036",295.894541772727,-2.12251761610941,0.0786617095887224,2.31212507642612e-160,3.56274599072672e-159
"FBgn0000037",725.747116347673,-1.76377924546597,0.0570945006659557,7.95685774064645e-211,1.68986373851445e-209
"FBgn0000038",24.1046236553001,-0.121184046767417,0.231559138779637,0.584720972765971,0.634030074781421
"FBgn0000039",332.309897346449,-1.61053653273212,0.0748095132166993,6.5888800449081e-104,6.53757555461966e-103
"FBgn0000042",36798.3648357035,0.686147585410913,0.0348948272586107,3.39300996874615e-86,2.88240644610862e-85
"FBgn0000043",2177.95372260944,0.280052962146025,0.0343559186469577,3.33604735181161e-16,9.45616421317057e-16
"FBgn0000044",156291.489479088,0.306673007723021,0.0304833731578451,7.70586379104811e-24,2.68321158287616e-23
"FBgn0000045",871.922780309143,-0.14291362888751,0.0893831635065723,0.104895582998226,0.132873987130892
"FBgn0000046",2988.94737600855,0.173733621950422,0.0323952198250195,8.09304117724817e-08,1.67763078031752e-07
"FBgn0000047",4.93082710997944,0.0669912991280764,0.583223813769653,0.882143778165022,0.899756505816127
"FBgn0000052",1832.37969250118,-0.703856468213506,0.050882659421717,1.230017967643e-43,6.17513668483369e-43
"FBgn0000053",737.055048187256,-0.658660168763781,0.0508584011506762,1.95045256638487e-38,8.92298610543396e-38
"FBgn0000054",536.894978552964,0.281142449495294,0.0574424944035962,8.8902217988707e-07,1.74285229768354e-06
"FBgn0000057",334.541084814026,0.00620259744130459,0.0715867017209707,0.929594123494571,0.940960992016416
"FBgn0000061",299.545854208267,-0.228345523883505,0.0726417861353913,0.00157400697839674,0.00246354031769217
"FBgn0000063",39.7894875263013,1.01652573875222,0.195483437545911,1.0039444787022e-07,2.06787764855824e-07
"FBgn0000064",37060.9243644552,-0.195361035329353,0.0543838182108145,0.000309439119259621,0.000512238950740528
"FBgn0000071",138.369331647657,0.187084958757783,0.102249054975101,0.0659087544622565,0.0860249953224135
"FBgn0000075",1349.85527945861,4.36536420594801,0.069666578402042,0,0
"FBgn0000077",166.825770325036,-0.458098847226853,0.0889456830549942,2.23007096381082e-07,4.51306830845441e-07
"FBgn0000078",4.52742026269675,0.470776231473513,0.504457395948911,0.257398495438704,0.30436412644879
"FBgn0000079",839.674669782165,0.487576397132913,0.0648555217697988,4.58206969387363e-14,1.212158908286e-13
"FBgn0000083",6986.56669165839,0.428176078474266,0.0427922054499723,1.25514390538272e-23,4.35308471894356e-23
"FBgn0000084",41.7647010767872,0.299977623394511,0.184967731202267,0.0987073152301691,0.125525864770728
"FBgn0000092",48.0932152746617,-3.09921343946075,0.231145282380972,4.43075451873428e-42,2.15847023182842e-41
"FBgn0000097",688.855723950917,-0.376975659336597,0.046945678891875,9.34238970408069e-16,2.61222982332296e-15
"FBgn0000099",83.2213503231701,-0.061003218233526,0.125577661601321,0.622021995928926,0.669166330471443
"FBgn0000100",55878.1523002275,-0.132281056161104,0.0463542257004737,0.00423001504457974,0.00635819756402635
"FBgn0000108",2100.6051838368,-1.05660021077386,0.033854785390283,2.32843550651756e-214,5.01077553689101e-213
"FBgn0000109",603.555920173,0.616025649715886,0.0532930591581774,4.29153444237264e-31,1.73450791557192e-30
"FBgn0000114",150.181500032168,-0.978720641218541,0.0945875931438401,2.60386379780774e-25,9.37473629553575e-25
"FBgn0000115",898.396779682149,0.825089617430197,0.0616288903184576,4.5316646824929e-41,2.16942208375483e-40
"FBgn0000116",49289.4443182216,0.33512844961858,0.0391140549970729,1.02299662228911e-17,3.04030521315012e-17
"FBgn0000117",5039.69384071204,-0.15046400067678,0.0258577929792386,5.87265154156218e-09,1.28031028705991e-08
"FBgn0000119",706.540799268808,-0.618664541528872,0.0536573164797534,5.79657346032037e-31,2.33116807140047e-30
"FBgn0000120",178.223508082983,-1.43230206101797,0.0933654527136717,2.24221539282134e-53,1.29475380702581e-52
"FBgn0000121",22.3027033125721,-1.03144162486115,0.262316724138854,3.74026175983857e-05,6.61855338092202e-05
"FBgn0000137",20.4982280273738,0.088694993798846,0.241944454120154,0.70456265933699,0.744197179802626
"FBgn0000139",269.773362703687,0.0535504582926836,0.0848318306812466,0.526325310020087,0.577780983538652
