"","Mov10_kd_2","Mov10_kd_3","Mov10_oe_1","Mov10_oe_2","Mov10_oe_3","Irrel_kd_1","Irrel_kd_2","Irrel_kd_3"
"1/2-SBSRNA4",36.3552833666652,43.7852195154033,53.3529628225183,49.1403029133476,58.2597700111774,40.1014572805038,32.2247999607195,52.2189658304483
"A1BG",45.2846512111093,42.7172873321008,83.3640044101848,72.3702642905664,62.8592255383756,68.6180491244177,60.29156121683,53.5579136722546
"A1BG-AS1",163.279869155549,189.023996444546,183.400809702407,168.863950011322,164.047247136736,189.813564461052,178.795664298186,168.707428067602
"A2LD1",93.120550377774,86.5025068475041,115.042326086055,111.682506621244,79.7238958047691,81.09405805613,83.1607740921793,66.9473920903183
"A4GALT",35.7174713777763,39.5134907821932,89.1994847188977,105.428286250455,99.6548697559613,43.6660312609931,54.0545031599166,49.5410701468356
"AAAS",1459.31383057772,1455.59156584133,1461.37099731054,1543.00551147911,1280.1817884035,1489.9919238445,1443.87894017546,1500.96053066494
"AACS",1011.56981437774,985.701405188226,792.791681940857,863.975871221947,742.045491721312,835.892598424724,801.461960313378,850.231879547043
"AADAT",545.967062488867,575.615446800058,494.348546152396,514.632990510695,550.401511421386,505.278361734348,541.584541275318,557.002302191448
"AAGAB",2964.55012435544,2723.22706742143,2207.47883678169,2104.99188479722,2270.59787859352,2909.58351157433,2900.23199646475,2835.89152894588
"AAK1",1473.34569433327,1478.01814169069,1558.07324242635,1431.32300485787,1502.48880555142,1492.66535432987,1677.76861730972,1483.55420872145
"AAMP",3315.34671824431,3290.29905675506,2650.14170019977,2802.78418616675,2638.55432076938,3618.93373369169,3434.53997000701,3512.0601890581
"AANAT",4.46468392222204,7.47552528311764,10.0036805292222,10.7215206356395,6.13260736959762,5.34686097073385,2.07901935230448,9.37263489264456
"AARS",3552.61277811097,3548.73864511427,3986.46669089504,4092.0470426024,3791.48450625373,3522.69023621848,3470.92280867234,3569.63494625577
"AARS2",2838.90116254433,2912.25106386597,1901.53294059631,1895.02877234928,1914.90665115686,2210.03586790332,2155.94306833975,2218.63657387315
"AARSD1",1034.53104597774,957.93516842236,881.157526615653,908.648873870445,852.432424374069,790.444280173487,813.936076427205,753.827634936984
"AASDH",815.123721799967,818.03605240973,816.967243219811,830.024389209089,870.830246482862,736.975670466148,745.328437801157,740.438156518921
"AASDHPPT",3521.9978026443,3400.29607163522,3223.68605054185,3058.31376131616,3412.79600118108,4117.08294746506,3889.84520816169,3872.23715850401
"AASS",1049.20072172218,1069.00011548582,1139.58594028723,985.486438425861,1277.1154847187,911.639795510121,884.622734405558,834.164505445366
"AATF",2932.0217129221,2857.78652251754,2317.51932260314,2213.99401125955,2269.06472675112,2860.57061934261,2772.37230629803,2691.2851620308
"AATK",149.248005399994,217.858165393714,305.112256141276,325.219459281064,311.229824007079,237.935313197656,276.509573856496,290.551681671981
"ABAT",241.730743788879,247.760266526185,526.026867828266,486.935728868626,455.346097192623,356.457398048923,359.670347948676,401.68435254191
"ABCA1",49.7493351333313,68.3476597313613,177.565329393694,154.568589163802,162.514095294337,69.50919261954,94.595380529854,89.7095054010265
"ABCA10",19.1343596666659,21.3586436660504,16.672800882037,12.5084407415794,12.2652147391952,16.0405829122015,35.3433289891762,30.7958003615464
"ABCA11P",188.792348711103,191.159860811151,200.907250628545,183.159310858841,213.108106093517,211.201008343987,191.269780412012,184.774802169279
"ABCA13",8.92936784444408,10.6793218330252,0.833640044101848,1.78692010593991,3.06630368479881,2.67343048536692,3.11852902845673,5.35579136722547
"ABCA17P",8.29155585555522,11.7472540163277,10.837320573324,15.1888209004893,7.66575921199703,17.8228699024462,12.4741161138269,8.0336870508382
"ABCA2",652.481664633307,800.94913747689,952.850570408412,1086.44742441147,936.755775706037,758.363114349084,788.987844199551,901.111897535684
"ABCA3",877.629296711076,870.364729391554,779.453441235228,933.665755353604,766.575921199703,688.853921729544,784.829805494942,789.979226665756
"ABCA4",3.82687193333318,3.20379654990756,8.33640044101848,7.14768042375965,9.19891105439643,4.45571747561154,12.4741161138269,10.7115827344509
"ABCA5",927.378631844407,986.769337371528,949.516010232005,947.067656148153,1079.33889704918,1119.27622987362,1195.43612757508,1118.02144790832
