"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"1/2-SBSRNA4",45.6798452125979,0.18680581607472,0.190283807771458,0.14853441466393,0.244271784363832
"A1BG",61.1328695994799,0.151014242955176,0.168475591950681,0.224901972584769,0.336902090612854
"A1BG-AS1",175.741566159675,-0.0423753174390074,0.118362646558698,0.679851646703276,0.771542990737561
"A2LD1",89.6592512469968,0.272879543967466,0.162721713212595,0.0282322232436856,0.0630414344047711
"A4GALT",64.5969009316286,0.783002115664619,0.237290300251879,3.58580782106399e-06,2.405936120989e-05
"AAAS",1454.28688603714,-0.039623704984173,0.0653722798292478,0.527655313150359,0.643293175161094
"AACS",860.458837841903,-0.0411811251421515,0.0712509555066934,0.543812051767329,0.657978752295851
"AADAT",535.603845321815,-0.0384537708810362,0.0807480328203831,0.611838953468905,0.716103824862146
"AAGAB",2614.56910361678,-0.378469217265214,0.0550053433933462,1.12994051207675e-12,2.74273869953542e-11
"AAK1",1512.15463365258,-0.047960686866473,0.0630948369832542,0.429631543979213,0.553938799466359
"AAMP",3157.83248436151,-0.369788508837288,0.0505419310033714,5.2778305756091e-14,1.63825993523705e-12
"AANAT",6.94956661943523,0.117651143360649,0.275708754822527,0.256014478110667,0.372159455044789
"AARS",3691.82470676537,0.163341562543571,0.0482336634555688,0.000530535364761032,0.0020477288634912
"AARS2",2255.90451257862,-0.195966110377021,0.0514525676898774,9.20372556632347e-05,0.000432330306715256
"AARSD1",874.114128849742,0.150862048733801,0.0693997892277211,0.0226304813209968,0.0522726015479729
"AASDH",796.715489738461,0.161547723034856,0.0686037114385089,0.0136218391482943,0.0341100975413205
"AASDHPPT",3562.03187518117,-0.282478722082657,0.0535830760132695,5.56122070690161e-08,5.44255771729575e-07
"AASS",1018.8519670001,0.327683394243227,0.0800818287735386,1.19106113281266e-05,7.01989900583155e-05
"AATF",2614.32679796561,-0.280056379186546,0.0516625079690098,2.48886028255481e-08,2.62827066951579e-07
"AATK",264.208034868658,0.18236131536864,0.114692838485961,0.0691293669909235,0.13196019442405
"ABAT",384.451475343011,0.356071233798935,0.0936395312649909,3.01367061681886e-05,0.000159782777872401
"ABCA1",108.319885908368,0.834450986197121,0.19192401592569,3.77726167375557e-08,3.83339667220966e-07
"ABCA10",20.5148964948065,-0.340560903914907,0.295447221944816,0.0191327410870812,0.0454717040685232
"ABCA11P",195.546558503555,0.00804994559239757,0.11341451658291,0.935602979119645,0.957922287877214
"ABCA13",4.55541304916987,-0.0903138179310597,0.293542554949205,0.274696025050841,0.392769814340793
"ABCA17P",11.5076729531006,-0.0398299230907786,0.239384861390564,0.721545267051988,0.803430902837437
"ABCA2",859.743428590054,0.254428519472916,0.0855483201043247,0.00134498174474492,0.0046439650579788
"ABCA3",811.419012222676,0.122918113666169,0.0809647328013374,0.105335096160044,0.18568996701458
"ABCA4",7.41938459078808,-0.0254675403519394,0.252161574225527,0.805012708229133,0.864939389827331
"ABCA5",1040.35054225029,-0.196106812169973,0.0689297782142392,0.0028470577857648,0.00889850343333527
"ABCA6",6.12652466148152,-0.469810154148827,0.550766463914207,0.00117099360272573,0.00410386033410805
"ABCA7",387.504899468606,0.0673319307649839,0.0944845287965188,0.436350751577773,0.560813826682767
"ABCA8",43.0893081731905,-0.104446406855503,0.183313546286155,0.407569827615665,0.533053319825902
"ABCA9",11.231048333362,-0.988420658675873,0.645838826223053,6.40780240631144e-05,0.000314455074969579
"ABCB1",729.594520379797,-0.133968629948554,0.072825484637755,0.052610363957652,0.105571143033737
"ABCB10",1484.41817866514,-0.121311393653206,0.0681964311003724,0.0626543557628701,0.121634632872187
"ABCB4",137.259710367071,0.572864403712622,0.159900739987187,6.01432115993866e-06,3.81072348958587e-05
"ABCB6",246.131230940341,0.112540493004902,0.108075306737516,0.241570854964072,0.355939411826138
"ABCB7",1427.73070230016,0.209713903536725,0.057658039881867,0.000169317768517234,0.000744794592976611
