"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FBgn0000008",562.467061386685,0.0567847585559324,0.0548496296858005,1.03528061868817,0.300537878395823,0.349974338113464
"FBgn0000014",894.89103805977,0.797361783317103,0.0453626707082915,17.5774876317271,3.66458307458721e-69,2.56860547891802e-68
"FBgn0000015",323.316300104045,0.84531262401211,0.0737834739631474,11.45666608805,2.1773574227418e-30,8.69792551296752e-30
"FBgn0000017",862.121739329347,0.25380488513732,0.0478014167593863,5.30956825850739,1.0988522483466e-07,2.25926094062705e-07
"FBgn0000018",111.781122642075,-0.381551054685228,0.112194149802747,-3.40081060693494,0.000671863591119556,0.00108510466916646
"FBgn0000024",789.77661599339,0.917816525005892,0.0484717387922707,18.935085636999,5.86202753372594e-80,4.62639208489811e-79
"FBgn0000028",38.6778561285419,1.44897785201348,0.213501140308853,6.78674526008328,1.14691454469119e-11,2.79183469657496e-11
"FBgn0000032",313.356786969687,-0.624485506960662,0.0706635082713275,-8.83745404435366,9.79245002190842e-19,3.00070726015843e-18
"FBgn0000036",295.894541772727,2.12689613427375,0.0788222701170344,26.9834417495939,2.31212507642612e-160,3.56274599072672e-159
"FBgn0000037",725.747116347673,1.76626757403435,0.0569994501644183,30.9874493339752,7.95685774064645e-211,1.68986373851445e-209
"FBgn0000038",24.1046236553001,0.130356966378138,0.238529752891739,0.546501913483737,0.584720972765971,0.634030074781421
"FBgn0000039",332.309897346449,1.6150420041944,0.0746106031151966,21.6462799757941,6.5888800449081e-104,6.53757555461966e-103
"FBgn0000042",36798.3648357035,-0.686873561557553,0.0349073766494911,-19.6770318335442,3.39300996874615e-86,2.88240644610862e-85
"FBgn0000043",2177.95372260944,-0.280451176113306,0.0343668562412945,-8.16051297052656,3.33604735181161e-16,9.45616421317057e-16
"FBgn0000044",156291.489479088,-0.307036380734115,0.0304983608005157,-10.0673076412986,7.70586379104811e-24,2.68321158287616e-23
"FBgn0000045",871.922780309143,0.145733443430447,0.0898718519753432,1.62156938159491,0.104895582998226,0.132873987130892
"FBgn0000046",2988.94737600855,-0.173953698884995,0.032423548744027,-5.36504194091463,8.09304117724817e-08,1.67763078031752e-07
"FBgn0000047",4.93082710997944,-0.11692173997979,0.788668099618544,-0.148252148193063,0.882143778165022,0.899756505816127
"FBgn0000052",1832.37969250118,0.705671156053973,0.0509420944661125,13.8524174054798,1.230017967643e-43,6.17513668483369e-43
"FBgn0000053",737.055048187256,0.660403136406938,0.0509401968980903,12.9642831520287,1.95045256638487e-38,8.92298610543396e-38
"FBgn0000054",536.894978552964,-0.282563405491365,0.0574931005267275,-4.91473590574588,8.8902217988707e-07,1.74285229768354e-06
"FBgn0000057",334.541084814026,-0.00633953866643722,0.07175035159394,-0.0883555066366065,0.929594123494571,0.940960992016416
"FBgn0000061",299.545854208267,0.22983830671357,0.0727179668032183,3.16068114686889,0.00157400697839674,0.00246354031769217
"FBgn0000063",39.7894875263013,-1.04654209070068,0.196496512407991,-5.32600847656634,1.0039444787022e-07,2.06787764855824e-07
